"X","Y","Grid","newDDM_LAT","newDDM_LON"
-76.9290334946973,44.0613865246835,1,"44 3.683","76 55.742"
-76.9293258448003,44.070384817955,2,"44 4.223","76 55.76"
-76.9302037116906,44.0973796031251,3,"44 5.843","76 55.812"
-76.9304966064349,44.1063778332969,4,"44 6.383","76 55.83"
-76.9168452423538,44.0705949659307,5,"44 4.236","76 55.011"
-76.9171358392756,44.0795933090379,6,"44 4.776","76 55.028"
-76.9180084418094,44.1065882438273,7,"44 6.395","76 55.081"
-76.9046532123574,44.0798021596396,8,"44 4.788","76 54.279"
-76.9049420543425,44.0888005521959,9,"44 5.328","76 54.297"
-76.9058093872476,44.1157956354437,10,"44 6.948","76 54.349"
-76.892457402802,44.0890081045534,11,"44 5.34","76 53.547"
-76.8927444880938,44.0980065461716,12,"44 5.88","76 53.565"
-76.8933190596653,44.1160033822539,13,"44 6.96","76 53.599"
-76.8799726176985,44.0892142934232,14,"44 5.353","76 52.798"
-76.8802578117809,44.0982127994143,15,"44 5.893","76 52.815"
-76.8811141908766,44.1252082231933,16,"44 7.512","76 52.867"
-76.8677710027095,44.0984176887048,17,"44 5.905","76 52.066"
-76.8680544373874,44.1074162429643,18,"44 6.445","76 52.083"
-76.8686217026768,44.1254133044419,19,"44 7.525","76 52.117"
-76.8689055334362,44.1344118116579,20,"44 8.065","76 52.134"
-76.8555656041998,44.1076198318049,21,"44 6.457","76 51.334"
-76.8558472777145,44.1166184339448,22,"44 6.997","76 51.351"
-76.856411018258,44.1346155912374,23,"44 8.077","76 51.385"
-76.8433564202635,44.1168207214648,24,"44 7.009","76 50.601"
-76.8441965431295,44.1438166234269,25,"44 8.629","76 50.652"
-76.8319782753818,44.15301639975,26,"44 9.181","76 49.919"
-76.819479576128,44.1532162067146,27,"44 9.193","76 49.169"
-76.8197562131048,44.1622149189456,28,"44 9.733","76 49.185"
-76.8058830698323,44.1174193943528,29,"44 7.045","76 48.353"
-76.8061572977772,44.1264182308921,30,"44 7.585","76 48.369"
-76.8064316534191,44.1354170518436,31,"44 8.125","76 48.386"
-76.8072554872425,44.1624134211615,32,"44 9.745","76 48.435"
-76.793391696597,44.1176162219645,33,"44 7.057","76 47.604"
-76.7942090778733,44.1446128692266,34,"44 8.677","76 47.653"
-76.7947546333966,44.1626105562133,35,"44 9.757","76 47.685"
-76.7950276017735,44.1716093763476,36,"44 10.297","76 47.702"
-76.7809001966168,44.1178116845046,37,"44 7.069","76 46.854"
-76.781711891959,44.1448085148974,38,"44 8.689","76 46.903"
-76.7825247219868,44.1718052053146,39,"44 10.308","76 46.951"
-76.7827959178117,44.1808040710103,40,"44 10.848","76 46.968"
-76.7692145799686,44.1450027941815,41,"44 8.7","76 46.153"
-76.7694834999953,44.1540017671955,42,"44 9.24","76 46.169"
-76.7702910119419,44.1809985930206,43,"44 10.86","76 46.217"
-76.7569841655952,44.1541947402836,44,"44 9.252","76 45.419"
-76.7577859805969,44.1811917469014,45,"44 10.872","76 45.467"
-76.7444847068134,44.1543863464847,46,"44 9.263","76 44.669"
-76.744749955838,44.1633854240289,47,"44 9.803","76 44.685"
-76.745546444598,44.1903825636566,48,"44 11.423","76 44.733"
-76.73224847532,44.1635757226998,49,"44 9.815","76 43.935"
-76.7325119487922,44.172574844155,50,"44 10.354","76 43.951"
-76.7330392640666,44.1905730406149,51,"44 11.434","76 43.982"
-76.7333031060066,44.1995721156178,52,"44 11.974","76 43.998"
-76.7197468721172,44.1637646539842,53,"44 9.826","76 43.185"
-76.7200084463999,44.1727638344241,54,"44 10.366","76 43.201"
-76.7207939007415,44.1997612829478,55,"44 11.986","76 43.248"
-76.7075048221378,44.1729514568443,56,"44 10.377","76 42.45"
-76.708544732778,44.2089482583501,57,"44 12.537","76 42.513"
-76.6950010768895,44.1731377113795,58,"44 10.388","76 41.7"
-76.6960333813835,44.2091347455871,59,"44 12.548","76 41.762"
-76.6827532070639,44.182321937416,60,"44 10.939","76 40.965"
-76.6835219096169,44.2093198631959,61,"44 12.559","76 41.011"
-76.6702473221515,44.1825055133705,62,"44 10.95","76 40.215"
-76.6710103183643,44.2095036111411,63,"44 12.57","76 40.261"
-76.6577413188385,44.1826877209073,64,"44 10.961","76 39.464"
-76.6579936311255,44.1916871591144,65,"44 11.501","76 39.48"
-76.6587512737426,44.2186853814519,66,"44 13.121","76 39.525"
-76.6454856089357,44.1918680546578,67,"44 11.512","76 38.729"
-76.6462375421582,44.2188664464751,68,"44 13.132","76 38.774"
-76.6329774700491,44.192047581287,69,"44 11.523","76 37.979"
-76.6337236936802,44.2190461413026,70,"44 13.143","76 38.023"
-76.6202226073417,44.1832261326639,71,"44 10.994","76 37.213"
-76.6212097291952,44.2192244659001,72,"44 13.153","76 37.273"
-76.6214567972978,44.2282240108817,73,"44 13.693","76 37.287"
-76.6217039805853,44.2372235405308,74,"44 14.233","76 37.302"
-76.6084506008206,44.2104018046918,75,"44 12.624","76 36.507"
-76.60869564959,44.2194014202335,76,"44 13.164","76 36.522"
-76.6091860898936,44.2374006053709,77,"44 14.244","76 36.551"
-76.5959383112589,44.2105773339261,78,"44 12.635","76 35.756"
-76.5961814557513,44.2195770042688,79,"44 13.175","76 35.771"
-76.5836671485659,44.2197512179725,80,"44 13.185","76 35.02"
-76.5709133931726,44.2109242826486,81,"44 12.655","76 34.255"
-76.5569784996604,44.1570963887784,82,"44 9.426","76 33.419"
-76.5584007664208,44.2110957020704,83,"44 12.666","76 33.504"
-76.5444771708567,44.1572661199841,84,"44 9.436","76 32.669"
-76.5447120401087,44.1662660966441,85,"44 9.976","76 32.683"
-76.5458880290452,44.2112657514886,86,"44 12.676","76 32.753"
-76.5461235557982,44.2202656367614,87,"44 13.216","76 32.767"
-76.5319757326846,44.1574344837156,88,"44 9.446","76 31.919"
-76.5322087026583,44.1664345129444,89,"44 9.986","76 31.933"
-76.5324417811778,44.1754345269596,90,"44 10.526","76 31.947"
-76.5333751819322,44.2114344308707,91,"44 12.686","76 32.003"
-76.5336088040951,44.2204343688075,92,"44 13.226","76 32.017"
-76.5194741860275,44.1576014799409,93,"44 9.456","76 31.168"
-76.5201677209765,44.1846016784593,94,"44 11.076","76 31.21"
-76.5208622259685,44.2116017401845,95,"44 12.696","76 31.252"
-76.5069725317692,44.1577671086278,96,"44 9.466","76 30.418"
-76.5072017030042,44.1667672417142,97,"44 10.006","76 30.432"
-76.5074309810168,44.1757673596182,98,"44 10.546","76 30.446"
-76.5076603658667,44.1847674623393,99,"44 11.086","76 30.46"
-76.5085789748401,44.2207677213802,100,"44 13.246","76 30.515"
-76.4949254202379,44.1759317233281,101,"44 10.556","76 29.696"
-76.4960638990625,44.220932341843,102,"44 13.256","76 29.764"
-76.4824197535063,44.1760947185831,103,"44 10.566","76 28.945"
-76.4826453358401,44.1850949235164,104,"44 11.106","76 28.959"
-76.4835487170345,44.2210955917146,105,"44 13.266","76 29.013"
-76.4837748255933,44.2300957208771,106,"44 13.806","76 29.026"
-76.4840010395746,44.2390958348834,107,"44 14.346","76 29.04"
-76.4842273590375,44.248095933733,108,"44 14.886","76 29.054"
-76.4844537840414,44.2570960174251,109,"44 15.426","76 29.067"
-76.4701376626939,44.1852566007509,110,"44 11.115","76 28.208"
-76.4703614479225,44.1942568410121,111,"44 11.655","76 28.222"
-76.4705853374512,44.2032570661351,112,"44 12.195","76 28.235"
-76.4712576324238,44.2302576506679,113,"44 13.815","76 28.275"
-76.471481939739,44.2392578152313,114,"44 14.355","76 28.289"
-76.4717063516476,44.2482579646532,115,"44 14.895","76 28.302"
-76.4719308682084,44.2572580989329,116,"44 15.435","76 28.316"
-76.4578517682442,44.1944171993562,117,"44 11.665","76 27.471"
-76.4580737545964,44.203417474548,118,"44 12.205","76 27.484"
-76.4587403347196,44.2304182093777,119,"44 13.825","76 27.524"
-76.45896273531,44.2394184240703,120,"44 14.365","76 27.538"
-76.4591852396055,44.2484186236366,121,"44 14.905","76 27.551"
