"PRJ_CD","SAM","SPC","FISH","TLEN","FLEN","RWT","SEX","XCONTAM","SPC_NM","DD_LAT0","DD_LON0","EFFDT1","Year","AREA","Block"
"LOA_IA23_NSK","30","131","1",770,750,3322.92,"2","0356","Northern pike",44.1311833333333,-76.8096833333333,2023-09-21,2023,"Weller's Bay","11"
"LOA_IA23_NSK","26","131","2",916,876,4937.76,"2","0359","Northern pike",44.1811333333333,-76.76315,2023-09-20,2023,"Weller's Bay","11"
"LOA_IA23_NSK","29","131","1",720,688,2526.3,"2","0357","Northern pike",44.12105,-76.7858,2023-09-21,2023,"Weller's Bay","11"
"LOA_IA23_NSK","12","131","1",766,725,2773.13,"2","0360","Northern pike",44.2183,-76.5841166666667,2023-09-12,2023,"Weller's Bay","11"
"LOA_IA23_NSK","26","131","1",805,761,3707.25,"2","0358","Northern pike",44.1811333333333,-76.76315,2023-09-20,2023,"Weller's Bay","11"
"LOA_IA23_NSK","20","131","1",770,732,2631.85,"2","0355","Northern pike",44.23085,-76.6243833333333,2023-09-14,2023,"Weller's Bay","11"
"LOA_IA23_NSK","1","234","2",719,651,5480.8,NA,"0362","Channel catfish",44.2286,-76.4049833333333,2023-09-06,2023,"Weller's Bay","11"
"LOA_IA23_NSK","1","234","3",615,575,2433.17,NA,"0363","Channel catfish",44.2286,-76.4049833333333,2023-09-06,2023,"Weller's Bay","11"
"LOA_IA23_NSK","1","234","4",684,620,4892.89,NA,"0364","Channel catfish",44.2286,-76.4049833333333,2023-09-06,2023,"Weller's Bay","11"
"LOA_IA23_NSK","1","234","5",678,615,4335.52,NA,"0365","Channel catfish",44.2286,-76.4049833333333,2023-09-06,2023,"Weller's Bay","11"
"LOA_IA23_NSK","1","234","1",674,620,4480.35,NA,"0361","Channel catfish",44.2286,-76.4049833333333,2023-09-06,2023,"Weller's Bay","11"
"LOA_IA23_NSK","8","313","1",165,155,106.79,"2","0371","Pumpkinseed",44.2261833333333,-76.4687,2023-09-07,2023,"Weller's Bay","11"
"LOA_IA23_NSK","9","314","3",168,158,97.89,"2","0385","Bluegill",44.23235,-76.4627,2023-09-12,2023,"Weller's Bay","11"
"LOA_IA23_NSK","9","314","2",169,160,101.85,"2","0384","Bluegill",44.23235,-76.4627,2023-09-12,2023,"Weller's Bay","11"
"LOA_IA23_NSK","9","314","1",180,170,148.73,"1","0383","Bluegill",44.23235,-76.4627,2023-09-12,2023,"Weller's Bay","11"
"LOA_IA23_NSK","9","314","4",157,149,81.05,"2","0386","Bluegill",44.23235,-76.4627,2023-09-12,2023,"Weller's Bay","11"
"LOA_IA23_NSK","14","314","2",173,165,126,"1","0389","Bluegill",44.22655,-76.61815,2023-09-13,2023,"Weller's Bay","11"
"LOA_IA23_NSK","12","314","2",174,164,114.06,"1","0387","Bluegill",44.2183,-76.5841166666667,2023-09-12,2023,"Weller's Bay","11"
"LOA_IA23_NSK","13","314","4",169,161,117.15,"1","0381","Bluegill",44.23485,-76.6130833333333,2023-09-13,2023,"Weller's Bay","11"
"LOA_IA23_NSK","14","314","1",167,160,105.8,"2","0388","Bluegill",44.22655,-76.61815,2023-09-13,2023,"Weller's Bay","11"
"LOA_IA23_NSK","11","314","1",158,150,90.72,"2","0382","Bluegill",44.1762666666667,-76.5280666666667,2023-09-12,2023,"Weller's Bay","11"
"LOA_IA23_NSK","19","314","1",165,155,89.76,"1","0390","Bluegill",44.1876666666667,-76.6315166666667,2023-09-14,2023,"Weller's Bay","11"
"LOA_IA23_NSK","31","316","2",351,335,768.62,"1","0399","Smallmouth bass",44.1664666666667,-76.7327,2023-09-21,2023,"Weller's Bay","11"
"LOA_IA23_NSK","31","316","3",431,414,1649.67,"2","0400","Smallmouth bass",44.1664666666667,-76.7327,2023-09-21,2023,"Weller's Bay","11"
"LOA_IA23_NSK","32","316","1",330,313,617.41,"2","0398","Smallmouth bass",44.1799333333333,-76.7693166666667,2023-09-21,2023,"Weller's Bay","11"
"LOA_IA23_NSK","28","316","1",446,428,1554.72,"1","0396","Smallmouth bass",44.15085,-76.8312,2023-09-20,2023,"Weller's Bay","11"
"LOA_IA23_NSK","28","316","2",405,385,1337.72,"2","0397","Smallmouth bass",44.15085,-76.8312,2023-09-20,2023,"Weller's Bay","11"
"LOA_IA23_NSK","13","317","1",253,243,273.67,"1","0401","Largemouth bass",44.23485,-76.6130833333333,2023-09-13,2023,"Weller's Bay","11"
"LOA_IA23_NSK","35","317","1",169,160,71.76,"2","0406","Largemouth bass",44.1005833333333,-76.8702666666667,2023-09-27,2023,"Weller's Bay","11"
"LOA_IA23_NSK","36","317","1",196,191,128.09,"2","0409","Largemouth bass",44.0826166666667,-76.9047333333333,2023-09-27,2023,"Weller's Bay","11"
"LOA_IA23_NSK","36","317","2",212,203,153.28,"2","0410","Largemouth bass",44.0826166666667,-76.9047333333333,2023-09-27,2023,"Weller's Bay","11"
"LOA_IA23_NSK","9","317","2",434,416,1564.25,"2","0405","Largemouth bass",44.23235,-76.4627,2023-09-12,2023,"Weller's Bay","11"
"LOA_IA23_NSK","10","317","2",417,401,1304.29,"1","0403","Largemouth bass",44.1871333333333,-76.4660666666667,2023-09-12,2023,"Weller's Bay","11"
